Time(hh:mm:ss),Elapsed Time,Voltage1,Voltage2,Alarm,,Comment: OMEGA OM-DAQPRO-5300,Serial number: 7014521
"06-Jun-16,19:03:13",251,-0.013,-0.02,,,,
"06-Jun-16,19:03:14",252,-0.008,-0.017,,,,
"06-Jun-16,19:03:15",253,0.01,-0.016,,,,
"06-Jun-16,19:03:16",254,-0.016,-0.014,,,,
"06-Jun-16,19:03:17",255,-0.003,-0.007,,,,
"06-Jun-16,19:03:18",256,0.006,-0.004,,,,
"06-Jun-16,19:03:19",257,0.007,-0.003,,,,
"06-Jun-16,19:03:20",258,0.001,-0.01,,,,
"06-Jun-16,19:03:21",259,0.011,-0.004,,,,
"06-Jun-16,19:03:22",260,0.075,-0.007,,,,
"06-Jun-16,19:03:23",261,0.083,-0.008,,,,
"06-Jun-16,19:03:24",262,0.018,-0.01,,,,
"06-Jun-16,19:03:25",263,0.003,-0.016,,,,
"06-Jun-16,19:03:26",264,-0.01,-0.016,,,,
"06-Jun-16,19:03:27",265,-0.011,-0.011,,,,
"06-Jun-16,19:03:28",266,-0.013,-0.016,,,,
"06-Jun-16,19:03:29",267,-0.018,-0.01,,,,
"06-Jun-16,19:03:30",268,-0.021,-0.011,,,,
"06-Jun-16,19:03:31",269,-0.02,-0.016,,,,
"06-Jun-16,19:03:32",270,-0.016,-0.017,,,,
"06-Jun-16,19:03:33",271,-0.013,-0.016,,,,
"06-Jun-16,19:03:34",272,-0.011,-0.02,,,,
"06-Jun-16,19:03:35",273,-0.014,-0.016,,,,
"06-Jun-16,19:03:36",274,-0.014,-0.01,,,,
"06-Jun-16,19:03:37",275,-0.007,-0.013,,,,
"06-Jun-16,19:03:38",276,-0.008,-0.011,,,,
"06-Jun-16,19:03:39",277,-0.01,-0.011,,,,
"06-Jun-16,19:03:40",278,-0.008,-0.016,,,,
"06-Jun-16,19:03:41",279,-0.01,-0.016,,,,
"06-Jun-16,19:03:42",280,-0.006,-0.016,,,,
