Experiment_Type,Test_Name,Original_Name,Test_Config,Location,Top_Vent,Bottom_Vent,Nozzle_Size,Manufacturer,Generic_Name,Nozze_Type,Tip_Size,Flow_Rate,Pressure,
Geometry_Tests,Exp_53_102815,1_5 Smooth Bore 15_16in 180GPM 50PSI_2015-10-28-1036,,Exterior,Single Door,Single Window,1.5,TFT,Man. I,Smooth Bore,15/16,180,50,
Geometry_Tests,Exp_64_102815,2_5 Automatic Nozzle 250GPM 75PSI_2015-10-28-1425,,Exterior,Single Window,Single Door,2.5,TFT,Man. I,Combination,,250,75,
Geometry_Tests,Exp_63_102815,2_5 Automatic Nozzle 250GPM 75PSI_2015-10-28-1414,,Exterior,Single Door,Single Window,2.5,TFT,Man. I,Combination,,250,75,
Geometry_Tests,Exp_65_102815,2_5 Smooth Bore 1 1_4in 320GPM 50PSI_2015-10-28-1435,,Exterior,Single Window,Single Door,2.5,TFT,Man. I,Smooth Bore,1 1/4,320,50,
Geometry_Tests,,,ignore,Exterior,Single Door,Single Window,2.5,TFT,Man. I,Smooth Bore ,1 1/4,320,50,
Geometry_Tests,Exp_66_102815,Portable Monitor Automatic 500GPM 75PSI_2015-10-28-1447,,Exterior,Single Window,Single Door,PM,TFT,Man. I,Combination,,500,80,
Geometry_Tests,Exp_69_102815,Portable Monitor Automatic 500GPM 80PSI_2015-10-28-1524,,Exterior,Single Door,Single Window,PM,TFT,Man. I,Combination,,500,80,
Geometry_Tests,Exp_67_102815,Portable Monitor 1 3_8in 500GPM 80PSI_2015-10-28-1455,,Exterior,Single Window,Single Door,PM,TFT,Man. I,Smooth Bore,1 3/8,500,80,
Geometry_Tests,Exp_68_102815,Portable Monitor 1 3_8in 500GPM 80PSI_2015-10-28-1511,,Exterior,Single Door,Single Window,PM,TFT,Man. I,Smooth Bore,1 3/8,500,80,
Geometry_Tests,Exp_62_102815,1_5 Automatic Nozzle 150GPM 50PSI_2015-10-28-1351,,Transitional,Single Window,Single Window,1.5,TFT,Man. I,Combination,,150,75,
Geometry_Tests,Exp_58_102815,1_5 Automatic Nozzle 150GPM 75PSI_2015-10-28-1315,,Transitional,No Opening,Single Window,1.5,TFT,Man. I,Combination,,150,75,
Geometry_Tests,Exp_59_102815,1_5 Automatic Nozzle 150GPM 75PSI_2015-10-28-1323,,Transitional,Single Door,Single Window,1.5,TFT,Man. I,Combination,,150,75,
Geometry_Tests,Exp_61_102815,1_5 Smooth Bore 15_16 180GPM 50PSI_2015-10-28-1342,,Transitional,Single Window,Single Window,1.5,TFT,Man. I,Smooth Bore,15/16,180,50,
Geometry_Tests,Exp_57_102815,1_5 Smoother Bore 15_16  180GPM 50 PSI_2015-10-28-1304,,Transitional,No Opening,Single Window,1.5,TFT,Man. I,Smooth Bore,15/16,180,50,
Geometry_Tests,Exp_60_102815,1_5 Smooth Bore 15_16 180GPM 50PSI_2015-10-28-1334,,Transitional,Single Door,Single Window,1.5,TFT,Man. I,Smooth Bore,15/16,180,50,
