Seconds,FireAttack_Bed1,FireAttack_Bed2,Couch1_CenterIgnite,Couch3_RightIgnite,Couch2_LeftIgnite,StripedChair_1,StripedChair_2,StripedChair_3,YellowChair_1,YellowChair_2
178.0,228.6,230.8,96.4,98.8,101.0,62.2,60.6,62.4,55.0,56.8
179.0,228.6,230.8,96.2,98.8,101.0,62.2,60.6,62.4,55.0,56.8
180.0,228.6,230.6,96.4,98.8,101.0,62.2,60.8,62.4,54.8,56.8
181.0,228.6,230.6,96.4,98.8,101.0,62.2,60.8,62.4,55.0,56.8
182.0,228.4,230.6,96.4,99.0,101.0,62.2,60.8,62.4,54.8,56.8
183.0,228.2,230.6,96.4,99.0,101.0,62.2,60.8,62.4,55.0,56.8
184.0,228.4,230.6,96.4,98.8,101.0,62.2,60.8,62.4,55.0,56.8
185.0,228.4,230.6,96.4,98.8,101.0,62.2,60.8,62.4,55.0,56.8
186.0,228.6,230.6,96.4,98.8,101.0,62.2,60.8,62.2,55.0,56.8
187.0,228.6,230.8,96.4,98.8,100.8,62.2,60.8,62.4,55.0,56.8
188.0,228.6,230.8,96.2,98.8,100.8,62.4,60.8,62.4,55.0,56.8
189.0,228.6,230.8,96.2,98.8,100.8,62.2,61.0,62.4,55.0,56.8
190.0,228.6,230.8,96.2,98.8,100.8,62.2,60.8,62.4,54.8,56.8
191.0,228.4,230.8,96.2,98.8,100.8,62.2,60.8,62.2,55.0,56.8
192.0,228.6,230.8,96.2,99.0,100.8,62.2,60.8,62.4,55.0,56.8
193.0,228.6,230.6,96.2,98.8,101.0,62.2,60.8,62.2,55.0,57.0
194.0,228.6,230.6,96.2,98.8,101.0,62.4,60.8,62.0,55.0,56.8
195.0,228.4,230.8,96.2,98.8,101.0,62.2,60.8,62.2,55.0,56.8
196.0,228.6,230.8,96.4,98.8,101.0,62.2,60.8,62.4,55.0,56.8
197.0,228.4,230.8,96.2,98.8,100.8,62.2,60.8,62.4,54.8,56.8
198.0,228.6,230.8,96.2,98.8,100.8,62.2,60.8,62.4,54.8,56.8
199.0,228.6,230.8,96.2,98.8,100.8,62.2,60.6,62.2,54.8,56.8
200.0,228.4,230.8,96.2,98.8,100.8,62.4,60.6,62.2,54.8,57.0
201.0,228.6,230.8,96.2,98.8,100.8,62.4,60.6,62.0,54.8,56.8
202.0,228.6,230.8,96.2,98.8,100.8,62.2,60.8,62.0,54.8,56.8
203.0,228.6,230.8,96.2,98.8,100.8,62.4,60.8,62.2,54.8,56.8
204.0,228.4,230.8,96.2,98.8,100.8,62.2,60.6,62.2,54.8,56.8
205.0,228.4,230.8,96.2,98.8,100.8,62.2,60.6,62.2,54.8,56.8
206.0,228.4,230.6,96.0,98.8,100.8,62.2,60.6,62.2,54.8,56.8
207.0,228.4,230.8,96.0,98.8,100.8,62.4,60.6,62.2,54.8,56.8
208.0,228.4,230.8,96.0,98.6,100.8,62.4,60.8,62.2,54.8,56.6
209.0,228.6,230.8,96.0,98.6,100.8,62.2,60.8,62.4,54.8,56.8
210.0,228.4,230.8,96.0,98.8,100.8,62.4,60.8,62.4,54.8,56.6
211.0,228.4,230.8,96.2,98.8,100.8,62.2,60.8,62.4,54.8,56.8
212.0,228.4,230.8,96.2,98.8,100.6,62.2,60.8,62.2,54.6,56.8
213.0,228.2,230.8,96.0,98.8,100.6,62.2,60.6,62.2,54.6,56.8
214.0,228.4,230.8,96.2,98.8,100.8,62.2,60.6,62.2,54.6,56.8
215.0,228.2,230.8,96.0,98.8,100.8,62.0,60.6,62.2,54.6,56.6
216.0,228.2,230.8,96.0,98.8,100.6,62.2,60.6,62.2,54.6,56.6
217.0,228.4,230.8,96.0,98.6,100.6,62.2,60.6,62.2,54.6,56.8
218.0,228.0,230.8,96.0,98.6,100.6,62.0,60.6,62.2,54.6,56.8
219.0,228.2,230.6,95.8,98.6,100.6,62.2,60.6,62.2,54.6,56.6
220.0,228.2,230.8,96.0,98.6,100.6,62.2,60.4,62.2,54.6,56.6
221.0,228.2,230.8,96.0,98.6,100.6,62.2,60.4,62.2,54.6,56.6
222.0,228.4,230.8,95.8,98.6,100.6,62.2,60.4,62.2,54.6,56.6
223.0,228.2,230.8,95.8,98.6,100.4,62.0,60.6,62.2,54.6,56.6
224.0,228.4,230.8,95.8,98.4,100.4,62.0,60.6,62.2,54.6,56.6
225.0,228.2,230.8,95.8,98.6,100.4,62.2,60.6,62.0,54.6,56.4
226.0,228.2,230.8,95.8,98.6,100.4,62.2,60.6,62.0,54.4,56.6
227.0,228.0,230.8,95.6,98.4,100.4,62.2,60.6,62.0,54.4,56.6
228.0,228.0,230.8,95.6,98.4,100.4,62.2,60.4,62.0,54.4,56.6
229.0,228.2,230.8,95.2,98.4,100.4,62.0,60.4,61.8,54.4,56.6
230.0,228.2,230.8,95.2,98.4,100.4,62.2,60.4,62.0,54.4,56.6
231.0,228.2,230.6,95.2,98.4,100.4,62.0,60.4,62.0,54.4,56.6
232.0,228.2,230.6,95.2,98.2,100.4,62.0,60.2,62.0,54.4,56.8
233.0,228.2,230.8,95.0,98.2,100.4,62.0,60.2,61.8,54.4,56.6
234.0,228.0,230.6,95.2,98.2,100.4,62.0,60.2,61.8,54.4,56.6
235.0,228.0,230.6,95.0,98.2,100.2,62.0,60.4,61.8,54.4,56.6
236.0,228.2,230.6,95.0,98.0,100.2,62.0,60.4,61.8,54.4,56.6
237.0,228.2,230.6,94.8,98.0,100.2,62.0,60.2,61.6,54.4,56.6
238.0,228.2,230.6,94.8,98.0,100.2,62.0,60.0,61.8,54.4,56.6
239.0,228.0,230.6,94.8,98.0,100.2,62.0,60.2,61.8,54.4,56.4
240.0,228.0,230.6,94.8,98.0,100.2,62.0,60.2,61.8,54.4,56.4
241.0,228.0,230.6,94.6,97.8,100.0,62.0,60.2,61.8,54.4,56.4
242.0,228.0,230.6,94.4,97.8,100.0,62.0,60.0,61.8,54.4,56.4
243.0,228.0,230.6,94.6,97.8,100.0,62.0,60.2,61.6,54.4,56.4
244.0,227.8,230.6,94.6,97.8,100.0,62.0,60.0,61.6,54.4,56.4
245.0,227.8,230.6,94.6,97.6,100.0,62.0,60.0,61.6,54.4,56.4
246.0,228.0,230.6,94.4,97.6,100.0,62.0,60.0,61.6,54.2,56.4
247.0,227.8,230.6,94.2,97.6,100.0,62.0,60.0,61.6,54.2,56.4
248.0,227.8,230.6,94.2,97.6,100.0,62.0,59.8,61.6,54.2,56.4
249.0,227.8,230.6,94.4,97.6,100.0,62.0,59.8,61.4,54.2,56.4
250.0,228.0,230.6,94.2,97.6,100.0,62.0,59.6,61.2,54.2,56.4
251.0,228.0,230.6,94.0,97.6,99.8,62.0,59.8,61.2,54.2,56.4
252.0,228.0,230.6,94.0,97.6,99.8,62.0,59.8,61.2,54.2,56.4
253.0,228.0,230.6,93.8,97.4,99.8,62.0,59.6,61.0,54.2,56.4
254.0,227.8,230.6,93.6,97.2,99.8,61.8,59.6,61.0,54.2,56.4
255.0,227.8,230.8,93.6,97.2,99.8,62.0,59.6,60.8,54.0,56.4
256.0,228.0,230.8,93.4,97.2,99.8,62.0,59.4,61.0,54.0,56.4
257.0,227.8,230.6,93.2,97.0,99.6,61.8,59.4,60.8,54.2,56.4
258.0,227.8,230.6,93.2,97.0,99.6,61.8,59.4,60.8,54.0,56.4
259.0,227.8,230.6,93.0,96.8,99.4,61.8,59.4,61.0,54.0,56.2
260.0,227.8,230.4,92.6,96.6,99.4,62.0,59.4,60.8,54.0,56.2
261.0,227.8,230.6,92.6,96.6,99.4,61.8,59.2,60.6,54.0,56.2
262.0,227.8,230.6,92.4,96.4,99.4,61.8,59.2,60.6,54.0,56.4
263.0,227.8,230.0,92.2,96.4,99.4,61.8,59.2,60.4,54.0,56.4
264.0,227.8,230.0,92.0,96.2,99.4,61.8,59.2,60.4,53.8,56.2
265.0,227.6,230.0,91.8,96.0,99.4,61.8,59.2,60.4,53.8,56.2
266.0,227.6,230.0,91.6,95.8,99.2,61.8,59.2,60.2,53.8,56.2
267.0,227.6,230.0,91.4,95.6,99.2,61.6,59.0,60.2,53.8,56.2
268.0,227.6,230.0,91.0,95.4,99.2,61.8,59.0,60.2,53.8,56.2
269.0,227.6,230.0,90.8,95.2,99.2,61.6,59.0,60.0,53.8,56.2
270.0,227.6,230.0,91.0,95.2,99.2,61.6,59.0,60.0,53.6,56.2
271.0,227.6,230.0,90.6,95.0,99.2,61.6,59.0,60.0,53.6,56.0
272.0,227.4,230.0,90.6,95.0,99.2,61.6,58.8,60.0,53.6,56.0
273.0,227.4,230.0,90.4,94.8,99.0,61.6,58.6,59.8,53.4,56.0
274.0,227.6,230.0,90.2,94.8,99.0,61.6,58.6,59.8,53.4,56.0
275.0,227.6,230.0,90.0,94.4,99.0,61.6,58.6,59.6,53.4,56.0
276.0,227.6,230.0,89.8,94.6,99.0,61.6,58.6,59.6,53.4,56.0
277.0,227.6,230.0,89.4,94.4,98.8,61.4,58.6,59.6,53.4,55.8
278.0,227.4,230.0,89.2,94.4,98.6,61.4,58.4,59.4,53.2,56.0
279.0,227.4,229.8,89.0,94.0,98.4,61.2,58.4,59.4,53.2,56.0
280.0,227.4,230.0,88.8,93.8,98.6,61.4,58.2,59.2,53.0,55.8
281.0,227.4,230.0,88.4,93.8,98.4,61.4,58.2,59.2,53.0,55.8
282.0,227.4,229.8,88.2,93.6,98.4,61.4,58.0,59.0,53.2,55.8
283.0,227.2,229.6,87.8,93.4,98.4,61.2,58.0,59.0,53.0,55.8
284.0,227.4,229.8,87.6,93.2,98.2,61.2,57.8,59.0,53.0,55.8
285.0,227.4,229.8,87.4,93.2,98.2,61.2,57.8,59.0,53.0,55.8
286.0,227.2,229.8,86.8,92.8,98.2,61.2,57.8,58.8,53.0,55.6
287.0,227.2,229.8,86.4,92.6,98.0,61.2,57.8,58.6,52.8,55.6
288.0,227.2,229.8,86.0,92.2,98.0,61.0,57.4,58.4,52.8,55.6
289.0,227.2,229.8,85.8,92.0,98.0,61.0,57.2,58.4,52.6,55.4
290.0,227.2,229.8,85.4,91.8,97.8,61.0,57.0,58.4,52.6,55.6
291.0,227.0,229.8,85.0,91.6,97.8,61.0,57.2,58.2,52.6,55.4
292.0,227.2,229.8,84.4,91.2,97.6,61.0,56.8,58.2,52.4,55.4
293.0,227.2,229.8,84.0,91.2,97.6,61.0,57.0,58.0,52.4,55.4
294.0,227.2,229.6,83.4,90.8,97.4,60.8,56.8,57.8,52.4,55.4
295.0,227.2,229.6,83.2,90.6,97.4,60.8,56.6,57.8,52.2,55.4
296.0,227.0,229.6,82.4,90.4,97.2,60.8,56.6,57.6,52.2,55.4
297.0,227.0,229.6,82.2,90.0,97.2,60.8,56.0,57.6,52.2,55.4
298.0,227.0,229.4,81.8,89.8,97.0,60.6,56.2,57.6,52.2,55.2
299.0,227.0,229.6,81.4,89.6,96.8,60.6,56.0,57.4,52.0,55.2
300.0,226.8,229.6,81.0,89.2,96.8,60.4,56.0,57.2,51.8,55.2
301.0,226.8,229.6,80.4,89.2,96.6,60.4,55.8,57.0,51.8,55.2
302.0,226.8,229.6,79.8,88.8,96.6,60.2,55.6,57.0,51.8,55.2
303.0,226.8,229.6,79.2,88.6,96.4,60.2,55.6,57.0,51.6,55.2
304.0,226.6,229.6,78.8,88.2,96.2,60.0,55.4,56.8,51.6,55.0
305.0,226.8,229.6,78.4,88.0,96.2,60.0,55.4,56.6,51.8,55.0
306.0,226.8,229.6,77.8,87.6,96.0,60.0,55.2,56.6,51.4,55.0
307.0,226.8,229.6,77.4,87.2,95.8,60.0,55.0,56.4,51.4,54.8
308.0,226.6,229.6,76.6,86.8,95.6,60.0,54.6,56.4,51.4,54.8
