Time,GPM,Total Gallons
57:48.8,0.095439211,0.52819186
57:48.8,0.011715855,0.52820081
57:48.8,-0.016785713,0.52820039
57:48.8,0.064562507,0.52820438
57:48.8,0.13641021,0.52822113
57:48.8,0.12928481,0.52824324
57:48.8,0.10909621,0.52826309
57:48.8,0.080000862,0.52827889
57:48.8,0.0580309,0.52829039
57:48.9,0.11444025,0.52830476
57:48.9,0.083563559,0.52832127
57:48.9,0.073469251,0.52833432
57:48.9,0.087126248,0.52834773
57:48.9,0.1672869,0.52836889
57:48.9,0.095439211,0.52839082
57:48.9,0.073469251,0.52840489
57:48.9,0.046155248,0.52841485
57:48.9,0.069906555,0.5284245
57:49.0,0.010528289,0.52843124
57:49.0,0.005184245,0.52843255
57:49.0,-0.016785713,0.52843159
57:49.0,0.0443739,0.52843386
57:49.0,0.056249551,0.52844226
57:49.0,0.025372855,0.52844906
57:49.0,0.027154204,0.52845347
57:49.0,0.028935552,0.52845812
57:49.0,0.01527855,0.52846181
57:49.0,0.008746941,0.52846378
57:49.0,0.087126248,0.52847177
57:49.1,0.080000862,0.52848572
57:49.1,0.088907599,0.52849978
57:49.1,0.042592552,0.52851075
57:49.1,0.068125203,0.52851999
57:49.1,-0.030442715,0.52852315
57:49.1,0.052686859,0.52852499
57:49.1,0.036060944,0.52853239
57:49.1,0.13641021,0.52854675
57:49.1,0.01527855,0.52855939
57:49.2,0.069906555,0.52856648
57:49.2,0.042592552,0.52857584
57:49.2,-0.008472756,0.5285787
57:49.2,0.001621549,0.5285781
57:49.2,0.050905511,0.52858251
57:49.2,0.076438166,0.52859312
57:49.2,0.005184245,0.52859992
57:49.2,0.046155248,0.52860421
57:49.2,-0.053006455,0.52860361
57:49.2,-0.037568107,0.5285961
57:49.2,-0.030442715,0.52859044
57:49.3,-0.068444803,0.52858216
57:49.3,-0.059538063,0.52857149
57:49.3,-0.042318366,0.52856302
57:49.3,-0.047662411,0.52855551
57:49.3,-0.081508026,0.52854478
57:49.3,0.005184245,0.52853841
57:49.3,0.005184245,0.52853924
57:49.3,0.0716879,0.52854568
57:49.3,0.017059898,0.52855307
57:49.3,0.080000862,0.52856117
57:49.4,0.011715855,0.5285688
57:49.4,0.075250596,0.52857602
57:49.4,0.003402897,0.52858257
57:49.4,-0.018567061,0.52858132
57:49.4,0.013497203,0.5285809
57:49.4,0.018841246,0.52858359
57:49.4,0.047936596,0.52858919
57:49.4,0.0580309,0.52859801
57:49.4,0.10375217,0.52861148
57:49.4,0.049717944,0.5286243
57:49.5,0.050905511,0.52863264
57:49.5,0.085344903,0.52864403
57:49.5,-0.032224063,0.52864844
57:49.5,0.022403942,0.5286476
57:49.5,-0.003128712,0.52864921
57:49.5,0.036060944,0.52865195
57:49.5,0.028935552,0.52865738
57:49.5,0.0443739,0.52866352
57:49.5,0.010528289,0.52866805
57:49.6,-0.063100763,0.52866369
57:49.6,-0.096946374,0.52865034
57:49.6,-0.063100763,0.52863699
57:49.6,-0.076757759,0.52862537
57:49.6,-0.053006455,0.52861452
57:49.6,-0.044099715,0.52860647
57:49.6,-0.023911105,0.52860081
57:49.6,0.0307169,0.52860135
57:49.6,-0.001941147,0.52860373
