Time(hh:mm:ss),Elapsed Time,Voltage I/O-1(mV),Voltage I/O-2(mV),Alarm,,Comment: OMEGA OM-DAQPRO-5300,Serial number: 7014521
"06-Jun-16,23:15:37",348,1.02,1.053,,,,
"06-Jun-16,23:15:38",349,1.023,1.056,,,,
"06-Jun-16,23:15:39",350,1.022,1.054,,,,
"06-Jun-16,23:15:40",351,1.023,1.061,,,,
"06-Jun-16,23:15:41",352,1.022,1.063,,,,
"06-Jun-16,23:15:42",353,1.023,1.061,,,,
"06-Jun-16,23:15:43",354,1.022,1.07,,,,
"06-Jun-16,23:15:44",355,1.019,1.073,,,,
"06-Jun-16,23:15:45",356,1.02,1.063,,,,
"06-Jun-16,23:15:46",357,1.02,1.064,,,,
"06-Jun-16,23:15:47",358,1.019,1.058,,,,
"06-Jun-16,23:15:48",359,1.02,1.07,,,,
"06-Jun-16,23:15:49",360,1.025,1.07,,,,
"06-Jun-16,23:15:50",361,1.018,1.06,,,,
"06-Jun-16,23:15:51",362,1.022,1.06,,,,
"06-Jun-16,23:15:52",363,1.027,1.07,,,,
"06-Jun-16,23:15:53",364,1.029,1.063,,,,
"06-Jun-16,23:15:54",365,1.025,1.06,,,,
"06-Jun-16,23:15:55",366,1.026,1.054,,,,
"06-Jun-16,23:15:56",367,1.027,1.06,,,,
"06-Jun-16,23:15:57",368,1.022,1.073,,,,
"06-Jun-16,23:15:58",369,1.022,1.067,,,,
"06-Jun-16,23:15:59",370,1.03,1.064,,,,
"06-Jun-16,23:16:00",371,1.026,1.07,,,,
"06-Jun-16,23:16:01",372,1.027,1.063,,,,
"06-Jun-16,23:16:02",373,1.029,1.064,,,,
"06-Jun-16,23:16:03",374,1.025,1.06,,,,
"06-Jun-16,23:16:04",375,1.026,1.064,,,,
"06-Jun-16,23:16:05",376,1.029,1.064,,,,
"06-Jun-16,23:16:06",377,1.025,1.063,,,,
"06-Jun-16,23:16:07",378,1.033,1.068,,,,
"06-Jun-16,23:16:08",379,1.032,1.061,,,,
"06-Jun-16,23:16:09",380,1.034,1.063,,,,
"06-Jun-16,23:16:10",381,1.032,1.061,,,,
"06-Jun-16,23:16:11",382,1.032,1.068,,,,
"06-Jun-16,23:16:12",383,1.044,1.067,,,,
"06-Jun-16,23:16:13",384,1.042,1.07,,,,
"06-Jun-16,23:16:14",385,1.037,1.073,,,,
"06-Jun-16,23:16:15",386,1.04,1.074,,,,
"06-Jun-16,23:16:16",387,1.03,1.078,,,,
"06-Jun-16,23:16:17",388,1.029,1.067,,,,
"06-Jun-16,23:16:18",389,1.032,1.075,,,,
"06-Jun-16,23:16:19",390,1.032,1.075,,,,
"06-Jun-16,23:16:20",391,1.033,1.075,,,,
"06-Jun-16,23:16:21",392,1.039,1.077,,,,
"06-Jun-16,23:16:22",393,1.03,1.071,,,,
"06-Jun-16,23:16:23",394,1.037,1.067,,,,
"06-Jun-16,23:16:24",395,1.032,1.081,,,,
"06-Jun-16,23:16:25",396,1.037,1.075,,,,
"06-Jun-16,23:16:26",397,1.034,1.07,,,,
"06-Jun-16,23:16:27",398,1.033,1.064,,,,
"06-Jun-16,23:16:28",399,1.034,1.07,,,,
"06-Jun-16,23:16:29",400,1.037,1.075,,,,
"06-Jun-16,23:16:30",401,1.036,1.068,,,,
"06-Jun-16,23:16:31",402,1.032,1.068,,,,
"06-Jun-16,23:16:32",403,1.032,1.068,,,,
"06-Jun-16,23:16:33",404,1.037,1.07,,,,
"06-Jun-16,23:16:34",405,1.039,1.073,,,,
"06-Jun-16,23:16:35",406,1.04,1.074,,,,
"06-Jun-16,23:16:36",407,1.034,1.074,,,,
"06-Jun-16,23:16:37",408,1.04,1.071,,,,
"06-Jun-16,23:16:38",409,1.042,1.07,,,,
"06-Jun-16,23:16:39",410,1.04,1.073,,,,
"06-Jun-16,23:16:40",411,1.04,1.071,,,,
"06-Jun-16,23:16:41",412,1.039,1.068,,,,
"06-Jun-16,23:16:42",413,1.036,1.068,,,,
"06-Jun-16,23:16:43",414,1.036,1.077,,,,
"06-Jun-16,23:16:44",415,1.039,1.077,,,,
"06-Jun-16,23:16:45",416,1.034,1.075,,,,
"06-Jun-16,23:16:46",417,1.036,1.074,,,,
"06-Jun-16,23:16:47",418,1.036,1.082,,,,
"06-Jun-16,23:16:48",419,1.039,1.085,,,,
"06-Jun-16,23:16:49",420,1.04,1.081,,,,
"06-Jun-16,23:16:50",421,1.036,1.078,,,,
"06-Jun-16,23:16:51",422,1.036,1.08,,,,
"06-Jun-16,23:16:52",423,1.033,1.074,,,,
"06-Jun-16,23:16:53",424,1.033,1.08,,,,
"06-Jun-16,23:16:54",425,1.033,1.078,,,,
"06-Jun-16,23:16:55",426,1.036,1.078,,,,
"06-Jun-16,23:16:56",427,1.034,1.08,,,,
"06-Jun-16,23:16:57",428,1.037,1.073,,,,
"06-Jun-16,23:16:58",429,1.043,1.08,,,,
"06-Jun-16,23:16:59",430,1.039,1.077,,,,
"06-Jun-16,23:17:00",431,1.04,1.075,,,,
"06-Jun-16,23:17:01",432,1.043,1.073,,,,
"06-Jun-16,23:17:02",433,1.039,1.073,,,,
"06-Jun-16,23:17:03",434,1.043,1.075,,,,
"06-Jun-16,23:17:04",435,1.04,1.08,,,,
"06-Jun-16,23:17:05",436,1.04,1.08,,,,
"06-Jun-16,23:17:06",437,1.04,1.077,,,,
"06-Jun-16,23:17:07",438,1.043,1.081,,,,
"06-Jun-16,23:17:08",439,1.039,1.078,,,,
"06-Jun-16,23:17:09",440,1.039,1.074,,,,
"06-Jun-16,23:17:10",441,1.043,1.078,,,,
"06-Jun-16,23:17:11",442,1.044,1.078,,,,
"06-Jun-16,23:17:12",443,1.046,1.074,,,,
"06-Jun-16,23:17:13",444,1.043,1.075,,,,
"06-Jun-16,23:17:14",445,1.04,1.078,,,,
"06-Jun-16,23:17:15",446,1.042,1.084,,,,
"06-Jun-16,23:17:16",447,1.046,1.085,,,,
"06-Jun-16,23:17:17",448,1.044,1.082,,,,
"06-Jun-16,23:17:18",449,1.046,1.091,,,,
"06-Jun-16,23:17:19",450,1.046,1.087,,,,
"06-Jun-16,23:17:20",451,1.053,1.098,,,,
"06-Jun-16,23:17:21",452,1.051,1.098,,,,
"06-Jun-16,23:17:22",453,1.047,1.384,,,,
"06-Jun-16,23:17:23",454,1.056,1.384,,,,
"06-Jun-16,23:17:24",455,1.05,2.514,,,,
"06-Jun-16,23:17:25",456,1.05,2.699,,,,
"06-Jun-16,23:17:26",457,1.047,2.621,,,,
"06-Jun-16,23:17:27",458,1.047,2.586,,,,
"06-Jun-16,23:17:28",459,1.05,2.586,,,,
"06-Jun-16,23:17:29",460,1.044,1.337,,,,
"06-Jun-16,23:17:30",461,1.046,1.23,,,,
"06-Jun-16,23:17:31",462,1.043,1.147,,,,
"06-Jun-16,23:17:32",463,1.049,1.075,,,,
"06-Jun-16,23:17:33",464,1.049,1.049,,,,
"06-Jun-16,23:17:34",465,1.047,1.03,,,,
"06-Jun-16,23:17:35",466,1.05,1.019,,,,
