Time,HF from Skin Temp Vic 1,HF from Skin Temp Vic 3,"Vic 1, surface necrosis","Vic 3, surface necrosis","Vic 1, 2 mm necrosis","Vic 3, 2 mm Necrosis","Vic 1, 10 mm necrosis","Vic 3, 10 mm necrosis",Vic 1 necrosis depth,Vic 3 necrosis depth
13.316666666666622,4100,900,1.01,0.996119304884814,1.01,0.0053555153565280015,0.0001992330979336647,0.00012111025048645892,4.4,0.0
13.349999999999955,4200,850,1.01,1.01,1.01,0.005651791073271641,0.00020156079893172792,0.0001215068608430995,4.4,0.1
13.383333333333288,4550,1000,1.01,1.01,1.01,0.005963050118791122,0.00020394262621917515,0.00012190584995611109,4.4,0.1
13.416666666666622,3900,800,1.01,1.01,1.01,0.006289457373966783,0.00020638009545279816,0.00012230725470466455,4.5,0.1
13.449999999999955,3100,800,1.01,1.01,1.01,0.006630994069984202,0.00020887477590685386,0.00012271111260797328,4.5,0.1
13.483333333333288,3150,1100,1.01,1.01,1.01,0.006987399177137099,0.0002114282928997461,0.00012311746182939412,4.5,0.1
13.516666666666621,3050,1050,1.01,1.01,1.01,0.007358641086168288,0.00021404233034093165,0.00012352634118016094,4.5,0.1
13.549999999999955,3150,1000,1.01,1.01,1.01,0.007745165257013952,0.00021671863341912048,0.00012393779012270263,4.6000000000000005,0.2
13.583333333333288,2700,1000,1.01,1.01,1.01,0.008147755062795048,0.0002194590114552531,0.00012435184877347753,4.6000000000000005,0.2
13.616666666666621,3150,1050,1.01,1.01,1.01,0.008567332229274055,0.00022226534094447009,0.00012476855790523477,4.6000000000000005,0.2
13.649999999999954,3100,800,1.01,1.01,1.01,0.0090049295603104,0.00022513956881033942,0.0001251879589485957,4.6000000000000005,0.2
13.683333333333287,3300,1150,1.01,1.01,1.01,0.009461271848878143,0.00022808371589353794,0.0001256100939928359,4.7,0.2
13.71666666666662,2950,900,1.01,1.01,1.01,0.009937144089862585,0.00023109988069522266,0.00012603500578574456,4.7,0.2
13.749999999999954,2200,950,1.01,1.01,1.01,0.010433333786395127,0.00023419024339080917,0.00012646273773244752,4.7,0.30000000000000004
13.783333333333287,3150,1250,1.01,1.01,1.01,0.010950531285792622,0.00023735707012387903,0.0001268933338931029,4.7,0.30000000000000004
13.81666666666662,2550,850,1.01,1.01,1.01,0.011489948350425237,0.00024060271758507185,0.00012732683897941275,4.800000000000001,0.30000000000000004
13.849999999999953,2750,1000,1.01,1.01,1.01,0.0120528527358985,0.00024392963787601426,0.0001277632983499413,4.800000000000001,0.30000000000000004
13.883333333333287,2600,1000,1.01,1.01,1.01,0.01264032668196265,0.0002473403836520967,0.00012820275800428123,4.800000000000001,0.30000000000000004
13.91666666666662,3500,1200,1.01,1.01,1.01,0.013253353448848535,0.0002508376135326184,0.00012864526457616026,4.800000000000001,0.30000000000000004
13.949999999999953,3250,800,1.01,1.01,1.01,0.013893409161789078,0.00025442409776480575,0.00012909086532562913,4.9,0.4
13.983333333333286,3100,1000,1.01,1.01,1.01,0.014561775176768127,0.0002581027241266794,0.00012953960813050995,4.9,0.4
14.01666666666662,2750,1150,1.01,1.01,1.01,0.01525941345331651,0.0002618765040512893,0.00012999154147731417,4.9,0.4
14.049999999999953,3850,900,1.01,1.01,1.01,0.015987607876981294,0.0002657485789555132,0.00013044671445185718,5.0,0.4
14.083333333333286,4050,1000,1.01,1.01,1.01,0.016747666143392514,0.00026972222676003785,0.0001309051767298034,5.0,0.4
14.11666666666662,3450,950,1.01,1.01,1.01,0.017540787369975122,0.0002738008685885242,0.00013136697856737346,5.0,0.4
14.149999999999952,3150,1200,1.01,1.01,1.01,0.018368008819961628,0.00027798807563465453,0.00013183217079243257,5.0,0.5
14.183333333333286,2200,1250,1.01,1.01,1.01,0.019231022657473756,0.0002822875761933505,0.0001323008047961601,5.1000000000000005,0.5
14.216666666666619,1700,850,1.01,1.01,1.01,0.02013279766460727,0.00028670326285940473,0.00013277293252547415,5.1000000000000005,0.5
14.249999999999952,1600,1100,1.01,1.01,1.01,0.021076155394053137,0.00029123919989679583,0.00013324860647635555,5.1000000000000005,0.5
14.283333333333285,1700,1050,1.01,1.01,1.01,0.02206353491678819,0.000295899630783853,0.00013372787968818337,5.2,0.5
14.316666666666618,1850,800,1.01,1.01,1.01,0.023097232799692242,0.0003006889859510293,0.00013421080573916325,5.2,0.5
14.349999999999952,2200,1100,1.01,1.01,1.01,0.02417856321659518,0.00030561189073530557,0.00013469743874290293,5.2,0.6000000000000001
14.383333333333285,2650,950,1.01,1.01,1.01,0.025308575409931963,0.0003106731735737007,0.00013518783334616675,5.2,0.6000000000000001
14.416666666666618,3000,950,1.01,1.01,1.01,0.026488331501099274,0.00031587787446325647,0.00013568204472782705,5.300000000000001,0.6000000000000001
14.449999999999951,3200,950,1.01,1.01,1.01,0.027718834116310397,0.0003212312537234297,0.00013618012859902193,5.300000000000001,0.6000000000000001
14.483333333333285,-15950,900,1.01,1.01,1.01,0.029001004225200248,0.00032673880109203995,0.00013668214120452215,5.300000000000001,0.6000000000000001
14.516666666666618,-9600,800,1.01,1.01,1.01,0.030335514582602897,0.00033240624517589075,0.00013718813932530447,5.300000000000001,0.6000000000000001
14.549999999999951,-6600,1000,1.01,1.01,1.01,0.03172220284988919,0.00033823956328607,0.00013769818028231732,5.4,0.7000000000000001
14.583333333333284,-7200,800,1.01,1.01,1.01,0.03316093164223938,0.00034424499168672553,0.00013821232194140759,5.4,0.7000000000000001
14.616666666666617,-4350,500,1.01,1.01,1.01,0.03465141675682719,0.00035042903626242007,0.00013873062271935134,5.4,0.7000000000000001
14.64999999999995,-3250,800,1.01,1.01,1.01,0.03619111019896115,0.0003567984835972437,0.00013925314159089847,5.4,0.7000000000000001
14.683333333333284,-3350,0,1.01,1.01,1.01,0.037776187982666326,0.0003633604124804502,0.0001397799380967036,5.5,0.7000000000000001
14.716666666666617,-3000,0,1.01,1.01,1.01,0.03939848445824968,0.00037012220584736126,0.0001403110723519737,5.5,0.7000000000000001
